#{"t_start": 1673784915.3242965, "env_id": "sokoban-turtle-v0"}
r,l,t
-6.0,35,139.020334
-16.0,54,326.497226
-10.0,43,463.083833
-24.0,45,668.629644
-22.0,41,812.758719
-22.0,42,988.47488
-20.0,44,1104.796949
-16.0,47,1135.295391
-8.0,51,1407.976124
-10.0,39,1716.965931
-4.0,51,1879.713488
-20.0,53,2101.979799
0.0,47,2298.67066
-10.0,64,2432.905116
-8.0,44,2594.335347
-28.0,44,2742.641185
-28.0,56,2946.652224
0.0,42,3185.113432
-16.0,38,3468.023344
-10.0,46,3580.230736
-6.0,39,3665.242977
-12.0,32,3707.780993
6.0,34,4257.360641
2.0,43,4639.546112
4.0,27,4815.381165
-12.0,48,5142.182449
-2.0,51,5216.118633
-10.0,49,5316.958306
118.0,13,5350.574628
-12.0,56,5527.462701
-12.0,59,5999.481872
-8.0,47,6208.286104
-16.0,42,6674.117978
6.0,32,6845.430917
-14.0,47,7360.546698
-16.0,36,7497.374348
-10.0,59,7834.698743
-6.0,39,7884.773484
-2.0,60,8261.324533
-16.0,48,8328.945658
-8.0,42,8518.599806
-32.0,65,8991.846769
0.0,42,9150.377872
8.0,35,9272.224777
-8.0,42,9562.856805
-16.0,35,9630.525444
-7.0,39,10173.598651
43.0,19,10304.297819
-10.0,51,10380.243323
-6.0,51,10881.796845
-21.0,48,11311.137265
-20.0,46,11520.624298
-12.0,46,11658.289334
-12.0,42,11816.693976
-24.0,48,12344.017982
-12.0,50,12552.333426
-5.0,52,12835.400258
2.0,38,13256.400022
-16.0,50,13538.943654
-10.0,46,13869.716402
-8.0,44,14039.663292
0.0,38,14334.493243
-16.0,46,14572.636926
-12.0,44,14641.301693
-2.0,52,14781.828194
-4.0,44,14911.157556
0.0,51,15159.214824
-8.0,48,15993.04389
-22.0,61,16667.31458
-19.0,60,16859.017046
-6.0,47,16991.044116
-8.0,38,17224.3843
-12.0,43,17450.543472
-4.0,46,17801.000879
-14.0,46,17996.143531
-2.0,45,18209.110824
-18.0,51,18363.94551
0.0,38,18678.582654
-10.0,40,19018.485513
-14.0,44,19313.059392
-8.0,55,19615.161558
-20.0,53,20055.223366
0.0,43,20388.841853
99.0,7,20520.875879
-4.0,38,20598.768388
-14.0,64,20886.333351
-16.0,43,20965.732122
-4.0,42,21081.115317
-10.0,52,21149.852379
8.0,36,21278.952242
-16.0,41,21736.701452
-8.0,46,22364.149779
-10.0,42,22444.202044
-16.0,53,22684.411955
0.0,55,22883.70254
-10.0,54,23039.835362
4.0,38,23082.082426
0.0,39,23266.791784
2.0,38,23450.686046
0.0,34,23631.741781
0.0,37,23717.769914
-4.0,46,24277.64694
2.0,36,24583.039551
-8.0,54,24842.358724
0.0,35,24960.699169
-4.0,41,25184.673375
-17.0,44,25690.151723
4.0,41,26033.128558
-6.0,41,26452.07232
4.0,53,26779.11316
7.0,39,27027.942808
-4.0,51,27327.594845
-16.0,38,27911.835804
4.0,37,28090.046203
-2.0,52,28135.385418
-4.0,53,28794.246878
-12.0,40,28974.086196
-4.0,44,29109.52834
6.0,54,29292.760536
-10.0,34,29435.832495
-4.0,34,29552.843571
9.0,59,30165.813359
-8.0,43,30732.389189
-8.0,41,30835.962209
2.0,50,31167.532852
-8.0,42,31380.418921
2.0,56,31674.679518
-4.0,54,31987.273137
-14.0,39,32034.23035
0.0,36,32407.442925
-6.0,36,32578.514256
0.0,45,32651.761161
-6.0,46,32989.824197
-1.0,44,33136.476841
-2.0,35,33830.045894
0.0,34,33939.970176
-14.0,46,34126.460399
-12.0,47,34343.140676
-6.0,48,34721.298442
-34.0,30,35021.445311
43.0,12,35039.245685
0.0,34,35169.128831
0.0,48,35328.673206
-9.0,46,35728.003335
-4.0,35,36056.875315
12.0,42,36293.827332
-6.0,41,36512.005692
18.0,36,36565.134722
-2.0,55,36864.755003
-10.0,42,36953.560101
-2.0,32,37026.269517
6.0,44,37206.08949
2.0,58,37823.013308
6.0,40,38055.666125
-8.0,48,38475.012495
6.0,39,38622.5708
-4.0,66,39168.144084
0.0,52,39413.002641
10.0,46,39787.276496
4.0,55,39991.806366
6.0,56,40201.724576
-4.0,38,40344.282853
-2.0,45,40738.172901
-4.0,40,40997.389578
0.0,40,41179.831849
-4.0,56,41609.608147
3.0,37,41713.396402
-10.0,39,41900.796109
-4.0,39,42009.346376
4.0,46,42284.053
-14.0,43,42457.163306
0.0,36,42624.986998
-2.0,36,43021.941831
-5.0,34,43379.441852
-8.0,31,43601.435661
-4.0,41,43908.227563
-5.0,43,44040.453464
6.0,39,44346.59882
-6.0,40,44423.02184
-6.0,36,44600.366256
0.0,34,44756.046574
-8.0,54,45046.790754
0.0,43,45377.224595
-4.0,47,45559.639321
-4.0,48,45817.436346
0.0,39,46164.702025
-1.0,34,46623.012717
-10.0,38,46734.07429
4.0,40,47323.028794
0.0,44,47668.231074
-8.0,38,47818.797937
-23.0,36,47952.723352
-2.0,37,48129.760732
-4.0,43,48338.853246
-4.0,44,48721.444102
4.0,36,49056.379283
-4.0,38,49354.460568
0.0,34,49465.548361
0.0,45,49595.706509
2.0,46,49987.394458
-8.0,39,50640.57078
4.0,46,51012.679637
4.0,39,51133.41715
6.0,45,51379.01211
-1.0,44,51576.649807
2.0,44,51771.747436
4.0,12,51811.475413
-4.0,43,51964.117083
10.0,63,52402.418759
4.0,41,52614.001956
0.0,44,53024.621977
4.0,43,53302.806822
-6.0,34,53435.030131
-4.0,33,53542.921799
4.0,31,53760.297739
0.0,38,54160.38378
-6.0,43,54330.55293
-10.0,44,54373.990765
-20.0,52,54580.012543
-2.0,39,55078.33683
4.0,32,55182.651602
-9.0,34,55296.247471
4.0,32,55405.510001
4.0,36,55606.004985
-4.0,46,55898.418305
52.0,30,56396.222832
-4.0,28,56550.093673
-6.0,39,57076.747485
-10.0,32,57198.386065
-12.0,50,57290.708401
4.0,46,57597.315352
0.0,37,57836.208687
0.0,38,58019.706951
2.0,44,58105.328383
-8.0,42,58310.55215
0.0,40,58388.028062
8.0,45,58456.656987
-4.0,39,58595.204693
-6.0,24,59013.017596
2.0,46,59292.614584
2.0,36,59467.800913
-2.0,47,59735.799862
0.0,36,59957.691451
4.0,52,60094.415019
2.0,32,60132.47409
4.0,36,60377.229236
-1.0,39,60758.710792
4.0,26,61021.731607
4.0,44,61186.499244
-19.0,38,61245.263769
-2.0,33,61394.384889
8.0,39,61522.883661
-6.0,30,61539.936537
4.0,44,61711.114491
4.0,45,61918.547856
0.0,43,62009.540499
4.0,46,62407.5946
-4.0,33,62793.392781
0.0,36,63008.420753
4.0,32,63088.198473
-6.0,34,63283.217543
0.0,47,63701.727662
-6.0,47,63930.038111
0.0,32,64089.137999
0.0,40,64221.352622
0.0,52,64366.984297
-18.0,61,64664.262736
0.0,36,64988.977184
-6.0,35,65341.293036
6.0,41,65685.030271
0.0,36,65762.489906
2.0,50,66127.037648
0.0,36,66303.589038
-2.0,41,66483.159834
0.0,40,66796.374032
0.0,31,67210.643244
-13.0,41,67359.881773
-4.0,32,67446.132692
3.0,36,67551.980808
0.0,32,67686.103766
