#{"t_start": 1673788128.3645637, "env_id": "sokoban-turtle-v0"}
r,l,t
-36.0,72,455.247996
-18.0,75,1124.517884
-26.0,75,2137.400975
-8.0,66,3556.865583
-12.0,82,4260.80401
-12.0,76,5184.528227
-10.0,54,5743.223087
-2.0,74,6021.589233
0.0,52,6397.28115
-2.0,66,7679.123878
0.0,74,8539.71292
-22.0,56,9233.700426
-44.0,86,9619.109282
-10.0,56,10293.40678
-24.0,83,11921.3002
-24.0,72,12379.644491
-42.0,66,13359.296791
-8.0,71,14163.885909
-14.0,79,14910.538104
-28.0,78,15546.239473
-14.0,63,16048.230783
-18.0,63,16614.05577
6.0,59,17505.204613
-10.0,72,18034.666925
-22.0,68,18191.053085
-18.0,68,18465.495293
-18.0,70,19270.473205
-22.0,79,20162.92673
-10.0,63,22035.685425
-4.0,56,22593.554308
-6.0,65,23302.230982
-8.0,68,23837.920351
-4.0,60,24650.006333
2.0,67,25997.449841
-4.0,77,26729.943998
-4.0,75,27475.134793
-18.0,58,28483.080825
4.0,49,28837.445564
-12.0,61,28980.165251
2.0,74,29772.995013
4.0,79,31199.151866
12.0,82,32160.363076
4.0,71,32505.738179
10.0,63,34099.202848
-10.0,74,34937.48132
0.0,56,35408.191095
-8.0,61,36699.355411
0.0,74,37604.75524
-2.0,56,39139.626907
-28.0,69,40346.241852
6.0,64,40713.423421
-26.0,66,41204.864528
4.0,59,41736.039519
-6.0,75,42192.440837
-14.0,74,42462.795789
2.0,77,42578.953886
-4.0,68,43176.727054
-4.0,52,43860.408043
-14.0,81,44777.697519
-5.0,79,45423.51706
6.0,54,45866.366153
-20.0,70,46533.476382
2.0,81,47087.628004
-4.0,74,48144.437376
-10.0,72,49075.240509
-14.0,53,49385.725394
-6.0,75,49824.61952
0.0,66,50420.087635
-10.0,59,51825.595185
10.0,69,52577.666937
-8.0,72,53315.006669
-8.0,73,54400.875559
6.0,68,54422.5116
0.0,66,57204.967283
14.0,72,58306.031226
-20.0,57,59182.433523
6.0,68,59940.714136
-4.0,88,61185.30453
-6.0,79,61784.190252
-2.0,61,62166.722452
-8.0,71,63204.392501
