#{"t_start": 1673779423.3635573, "env_id": "sokoban-turtle-v0"}
r,l,t
-8.0,59,348.256952
-18.0,35,500.331811
-14.0,41,531.644573
-18.0,38,600.488669
-18.0,33,779.58044
-14.0,52,1052.114805
-12.0,38,1212.233167
-16.0,36,1402.398971
-12.0,28,1428.038353
10.0,39,1588.303115
-8.0,41,1858.918033
-10.0,47,1996.536096
-4.0,36,2021.890159
40.0,3,2050.00362
36.0,1,2070.158111
-35.0,37,2237.9145
2.0,55,2650.446512
-14.0,54,2741.32419
-12.0,52,2822.275383
-2.0,32,2928.602574
-2.0,45,3016.679607
43.0,4,3027.834314
-10.0,37,3183.399182
-10.0,45,3247.412036
-16.0,54,3583.342141
-10.0,47,3962.16611
3.0,45,4527.550569
0.0,35,4612.659112
-16.0,42,4691.092122
-2.0,52,4760.917354
-8.0,42,4935.230379
-19.0,49,5345.050955
-3.0,39,5457.204881
0.0,33,5529.526623
-8.0,49,5676.032458
-2.0,26,5748.782087
-10.0,49,5950.393783
-8.0,45,5998.032789
-16.0,49,6064.080155
43.0,17,6253.106548
-5.0,49,6290.187781
0.0,48,6497.528386
-17.0,43,6736.19839
-28.0,39,6949.259384
-2.0,70,7155.3072
-15.0,38,7251.492249
-4.0,38,7634.722887
-4.0,40,8034.14125
-16.0,53,8145.679928
-18.0,47,8396.128594
37.0,5,8398.669549
0.0,41,8846.137196
-2.0,48,8951.343999
-2.0,43,9137.243231
7.0,48,9355.330523
51.0,4,9376.095694
-12.0,42,9498.203237
-8.0,35,9638.26603
-8.0,35,9851.307894
-4.0,50,10065.92481
-4.0,43,10254.654697
0.0,1,10304.302495
-14.0,39,10933.517912
0.0,41,11230.602903
2.0,45,11349.043827
2.0,51,11534.021799
4.0,26,11638.930687
-6.0,54,11807.344334
-12.0,44,11895.426118
-12.0,37,11985.932605
-12.0,41,12104.890242
-2.0,42,12391.613092
-14.0,55,12868.401866
-22.0,54,12961.968515
-12.0,43,13097.833155
-2.0,44,13539.530711
224.0,1,13584.138699
39.0,12,13706.835869
-8.0,45,13971.435704
-5.0,50,14623.058399
-12.0,58,15118.887738
-4.0,42,15314.414066
9.0,16,15389.687043
-12.0,56,15469.873324
-10.0,46,15538.341445
-2.0,70,16015.591132
-6.0,34,16201.763501
-14.0,39,16324.241694
2.0,45,16739.378404
50.0,17,16813.876835
-4.0,51,16950.121532
-4.0,50,17033.048691
-8.0,51,17124.632638
-4.0,36,17228.684336
0.0,39,17332.385018
-10.0,33,17404.446355
10.0,44,17480.832615
-2.0,52,17612.527133
-20.0,49,17658.742756
0.0,57,18269.631114
78.0,4,18287.933047
2.0,53,18487.772274
-4.0,42,18872.260429
-6.0,40,18945.216833
-4.0,35,18984.498048
4.0,40,19350.155839
8.0,43,19727.226568
0.0,32,19842.204625
4.0,47,19997.891423
10.0,49,20074.851787
-4.0,48,20283.453235
37.0,9,20306.930757
-12.0,51,20735.595669
2.0,33,20855.531505
0.0,49,21313.576922
-8.0,39,21643.214723
-10.0,46,21880.762082
0.0,38,21952.329611
-4.0,61,22152.717001
2.0,43,22290.095235
-6.0,49,22695.686786
-8.0,40,22784.667187
