#{"t_start": 1673787191.6723003, "env_id": "sokoban-turtle-v0"}
r,l,t
-1.0,69,2.902205
8.0,57,3.297365
-20.0,56,3.681638
-6.0,51,4.027011
-14.0,66,4.462269
-23.0,65,4.892545
-3.0,70,5.447309
-32.0,74,5.961857
3.0,59,6.371396
-18.0,58,6.76579
3.0,69,7.239541
22.0,62,7.667309
12.0,77,8.184879
0.0,83,8.754965
-12.0,69,9.215857
9.0,70,16.361816
-17.0,74,16.920078
-28.0,76,17.502923
4.0,60,17.992559
-7.0,78,18.592629
-4.0,63,19.055277
-4.0,67,19.511106
11.0,76,20.055909
2.0,79,20.600501
1.0,64,21.097457
5.0,55,21.500959
-11.0,54,21.896281
15.0,70,22.448279
-22.0,59,22.975998
-2.0,63,23.477467
-9.0,75,288.040345
-2.0,75,288.5441
-4.0,53,288.897744
2.0,47,289.209067
-1.0,72,289.69717
-4.0,97,290.347529
5.0,59,290.73657
-24.0,75,291.259259
-11.0,74,291.767404
-10.0,63,292.209785
3.0,80,292.757051
-8.0,65,293.207871
11.0,76,293.735263
7.0,75,294.230486
6.0,61,301.261409
5.0,54,301.663359
3.0,73,303.008968
-6.0,83,304.85235
4.0,80,305.977382
-16.0,58,306.394655
11.0,60,306.845971
2.0,57,307.259542
-20.0,70,307.789843
-6.0,62,308.234064
-4.0,64,308.678789
-2.0,65,309.129662
-10.0,59,309.529265
22.0,79,310.091398
3.0,50,310.436763
0.0,83,317.497459
14.0,71,584.884733
-3.0,71,585.367381
-22.0,66,585.836895
5.0,66,586.284378
13.0,60,586.733562
1.0,65,587.188517
0.0,52,587.552783
9.0,57,588.00407
8.0,95,588.736263
-7.0,61,589.224318
-18.0,55,589.675932
11.0,64,590.152553
14.0,65,590.65541
25.0,47,590.998684
14.0,63,591.419534
15.0,64,598.208609
-1.0,67,598.734296
8.0,74,599.29209
13.0,76,599.858866
12.0,63,600.358345
-2.0,71,600.95193
26.0,70,601.487616
2.0,67,602.034543
-3.0,67,602.482494
12.0,70,602.974416
3.0,62,603.464018
-1.0,54,603.882251
-5.0,56,604.268992
-3.0,55,604.691121
3.0,74,605.291898
-23.0,78,612.666651
2.0,64,613.152811
10.0,76,894.958705
10.0,61,895.440089
9.0,56,895.845871
-5.0,60,896.284743
-8.0,56,896.707276
2.0,61,897.143918
-3.0,59,897.561061
6.0,59,897.972545
-17.0,54,898.352088
15.0,64,898.857459
-7.0,86,899.498375
1.0,49,899.900579
4.0,78,900.455904
-2.0,57,907.500554
0.0,75,908.027668
14.0,73,908.562337
20.0,68,909.061421
13.0,88,909.729531
16.0,60,910.197605
6.0,64,910.662063
11.0,44,911.025203
0.0,56,911.48678
12.0,65,911.977589
0.0,67,912.47699
3.0,50,912.829194
14.0,66,913.30554
1.0,59,913.714435
-4.0,64,914.181817
1.0,68,914.699384
20.0,75,915.414832
33.0,75,916.001123
4.0,63,916.461884
15.0,71,1184.050256
7.0,64,1184.535296
14.0,63,1185.016781
17.0,62,1185.492521
35.0,55,1185.902852
-10.0,82,1186.524443
-6.0,71,1187.053296
5.0,62,1187.530858
-13.0,77,1188.130117
21.0,74,1188.715966
21.0,58,1189.156181
0.0,82,1197.058109
10.0,50,1197.463282
37.0,61,1197.971247
35.0,69,1198.51283
16.0,62,1199.031651
7.0,67,1199.556809
5.0,78,1200.135325
2.0,72,1200.671995
20.0,75,1201.22191
29.0,57,1201.666365
8.0,76,1202.266154
23.0,55,1202.681265
5.0,57,1203.08346
6.0,74,1203.634212
17.0,86,1204.321442
-11.0,65,1204.949306
-4.0,72,1205.499162
30.0,72,1206.038374
0.0,62,1206.500885
55.0,87,1465.803755
14.0,70,1466.362989
42.0,73,1466.906814
31.0,85,1467.596867
43.0,64,1468.093338
23.0,83,1468.815324
-4.0,63,1469.399091
23.0,74,1469.988226
13.0,83,1470.652934
9.0,65,1471.163636
18.0,79,1478.888353
11.0,65,1479.347111
18.0,78,1479.921345
15.0,67,1480.455126
26.0,67,1480.938507
10.0,87,1481.555282
-15.0,77,1482.122472
13.0,56,1482.524574
15.0,79,1483.093553
23.0,69,1483.624494
25.0,64,1484.124751
39.0,66,1484.630157
26.0,71,1485.16979
36.0,70,1485.713967
15.0,64,1486.438053
15.0,72,1487.044472
16.0,61,1487.542099
20.0,69,1488.108495
4.0,70,1750.350849
44.0,60,1750.911691
9.0,68,1751.473725
14.0,67,1751.985691
20.0,73,1752.60178
6.0,74,1753.132501
27.0,70,1753.644409
40.0,82,1754.252359
24.0,55,1754.652573
49.0,80,1755.258543
33.0,65,1755.746868
38.0,79,1764.040333
25.0,69,1764.582285
30.0,78,1765.203254
24.0,65,1765.754581
10.0,61,1766.198709
26.0,60,1766.636951
19.0,66,1767.136962
23.0,73,1767.67556
21.0,54,1768.11377
5.0,75,1768.668144
29.0,79,1769.279587
29.0,76,1769.902642
25.0,55,1770.312688
15.0,69,1770.796498
25.0,61,1771.376869
38.0,84,1772.021459
13.0,89,1772.682474
16.0,57,1773.116518
35.0,73,1773.74151
19.0,71,2037.077982
15.0,78,2037.755449
18.0,54,2038.224449
18.0,78,2038.833317
29.0,83,2039.506391
25.0,67,2040.053639
20.0,68,2040.625287
36.0,66,2041.176675
33.0,63,2041.694578
43.0,67,2050.031883
23.0,63,2050.586542
38.0,84,2051.359875
20.0,66,2051.975652
10.0,64,2052.523253
39.0,78,2053.227949
33.0,68,2053.82904
43.0,73,2054.450167
41.0,66,2055.005587
40.0,74,2055.673821
24.0,62,2056.254384
26.0,60,2056.807671
15.0,60,2057.310912
20.0,68,2057.809647
19.0,58,2058.241122
1.0,73,2066.303882
39.0,56,2066.79316
35.0,63,2067.346341
24.0,60,2067.887431
40.0,72,2068.53726
15.0,77,2069.194178
8.0,56,2325.625042
23.0,70,2326.261021
15.0,52,2326.702762
26.0,79,2327.35469
28.0,92,2328.077512
33.0,79,2328.662816
16.0,70,2329.170674
14.0,70,2329.715526
5.0,80,2330.348053
37.0,85,2339.356245
39.0,58,2339.948034
45.0,69,2340.651947
43.0,61,2341.315825
32.0,71,2342.028584
33.0,64,2342.692661
49.0,81,2343.481474
53.0,85,2344.375607
43.0,89,2345.290644
31.0,59,2345.822322
48.0,74,2346.418568
22.0,87,2347.07042
9.0,60,2347.49175
34.0,73,2348.150459
30.0,59,2348.562758
30.0,66,2349.024614
33.0,80,2349.623254
22.0,59,2350.071433
32.0,61,2350.518612
35.0,87,2351.154682
40.0,60,2607.65429
32.0,73,2608.210693
33.0,72,2608.843152
16.0,82,2609.55962
30.0,66,2610.155079
46.0,80,2610.828929
24.0,82,2611.557975
54.0,88,2620.455361
35.0,70,2621.005579
36.0,73,2621.53882
11.0,103,2622.385831
41.0,71,2623.001175
33.0,61,2623.551837
13.0,95,2624.413546
32.0,76,2625.172181
34.0,70,2625.912125
53.0,68,2626.577016
43.0,79,2627.291165
44.0,67,2627.896711
38.0,59,2628.438498
41.0,69,2629.06004
25.0,56,2638.449805
49.0,66,2639.123083
65.0,74,2639.844154
30.0,63,2640.581884
30.0,68,2641.358581
19.0,66,2642.198291
39.0,70,2643.117679
25.0,64,2880.064587
21.0,107,2880.779553
30.0,66,2881.222019
18.0,92,2881.865749
35.0,71,2882.399125
29.0,61,2882.899253
51.0,75,2883.472951
32.0,81,2891.095386
30.0,64,2891.522827
25.0,79,2892.068246
30.0,90,2892.65194
47.0,76,2893.157025
42.0,72,2893.646571
47.0,106,2894.522984
40.0,65,2895.024676
56.0,69,2895.613856
17.0,67,2896.163794
28.0,92,2896.820989
31.0,72,2897.437051
30.0,66,2897.992304
62.0,98,2899.181819
36.0,62,2899.890664
53.0,74,2900.72822
34.0,54,2901.324815
46.0,70,2902.131175
25.0,87,2903.099215
