#{"t_start": 1674037161.7248096, "env_id": "sokoban-turtle-v0"}
r,l,t
-7.0,51,2.443033
10.0,51,2.817448
5.0,34,3.0274
-9.0,50,3.339983
-1.0,69,3.783957
5.0,54,4.122052
2.0,38,4.355307
-1.0,37,4.584086
6.0,32,4.784528
2.0,52,5.114238
-7.0,60,5.53231
-2.0,46,5.88108
-2.0,42,6.197915
-11.0,42,6.47331
0.0,37,6.713377
-26.0,59,7.121472
7.0,49,7.475491
-1.0,43,7.767262
3.0,46,8.084491
0.0,48,8.374487
4.0,43,8.630927
11.0,37,12.347006
-17.0,42,12.637141
11.0,36,12.91614
12.0,43,13.223314
-6.0,36,13.479251
9.0,43,13.803259
-2.0,57,14.21488
-3.0,56,14.579055
-4.0,52,14.962541
15.0,27,15.168168
-18.0,39,15.40708
4.0,43,15.719532
-1.0,69,16.254978
3.0,51,16.660115
16.0,36,16.916142
12.0,45,17.219926
4.0,50,17.554579
10.0,46,17.831454
-4.0,51,18.180218
7.0,37,18.409725
5.0,50,18.697452
3.0,39,18.936866
-11.0,46,19.386442
5.0,41,221.942534
23.0,44,222.288011
-3.0,50,222.654561
-13.0,42,222.908751
2.0,55,223.280132
0.0,41,223.593487
-4.0,38,223.838025
1.0,48,224.111874
24.0,43,224.385015
14.0,42,224.657814
15.0,42,224.937073
3.0,60,225.305365
-2.0,38,225.539382
-16.0,49,225.835633
-10.0,40,226.083262
-4.0,40,226.328732
-3.0,41,226.574409
-3.0,39,226.818745
9.0,40,227.079617
14.0,37,227.32464
0.0,60,227.704448
-6.0,40,227.94852
10.0,41,231.676309
20.0,29,231.873058
15.0,32,232.084552
11.0,50,232.409997
3.0,42,232.652923
6.0,38,232.883471
1.0,36,233.098655
15.0,33,233.319005
24.0,41,233.584568
14.0,43,233.85703
2.0,36,234.094419
7.0,42,234.350251
-1.0,54,234.680676
-2.0,36,234.882621
-36.0,44,235.134364
-13.0,40,235.375692
-2.0,42,235.649866
20.0,41,235.897578
-3.0,47,236.171649
-2.0,44,236.438679
-16.0,41,236.673934
-2.0,37,236.904431
5.0,35,237.107996
36.0,57,237.436837
10.0,53,241.302033
-8.0,35,241.54856
8.0,36,241.787473
-5.0,41,442.176548
8.0,41,442.460256
8.0,32,442.691712
13.0,44,442.95648
-3.0,39,443.204267
6.0,45,443.485458
30.0,46,443.773733
-1.0,36,444.007894
21.0,48,444.324973
8.0,30,444.520425
-1.0,44,444.808199
-8.0,42,445.076704
9.0,42,445.33095
10.0,37,445.53551
18.0,44,445.781654
2.0,35,445.971886
3.0,36,446.168343
14.0,46,446.430057
26.0,50,446.739259
2.0,47,447.026313
0.0,48,447.319374
-1.0,51,451.230868
-4.0,52,451.578332
7.0,50,451.858441
19.0,45,452.11164
-2.0,41,452.36015
23.0,39,452.60656
3.0,37,452.851723
9.0,46,453.125731
