#{"t_start": 1673708514.013455, "env_id": "sokoban-turtle-v0"}
r,l,t
-12.0,37,51.041435
-4.0,41,205.967508
-18.0,40,310.471041
-10.0,61,471.815324
-16.0,48,596.724603
-8.0,61,1187.016384
-20.0,54,1430.578313
-22.0,40,1463.313601
-8.0,37,1602.054498
-12.0,48,1825.039869
-8.0,49,2016.491976
34.0,5,2041.437278
-2.0,39,2176.590096
-16.0,48,2337.432081
-8.0,39,2609.149646
-13.0,32,2770.17167
-14.0,43,2883.478164
-16.0,53,3150.852025
55.0,1,3200.342194
-10.0,51,3667.976322
-16.0,39,3732.786691
-6.0,50,3916.837014
-10.0,52,4020.172332
2.0,32,4234.627962
-6.0,54,4802.909893
-10.0,39,4993.4466
-18.0,39,5243.716149
-4.0,32,5300.605406
49.0,9,5329.868717
-8.0,46,5525.630009
-12.0,46,5906.9702
-14.0,36,6096.471085
102.0,19,6128.756676
-26.0,41,6220.207376
-14.0,44,6324.89395
-14.0,53,6482.151314
-2.0,34,6719.406595
0.0,58,6774.827049
-16.0,36,6908.951851
-18.0,58,7209.736764
-12.0,52,7721.881294
-30.0,47,8509.43508
-12.0,33,8544.695304
-12.0,53,9017.852307
-10.0,44,9138.090569
-20.0,41,9419.310542
-30.0,42,9472.397469
-8.0,28,9584.218276
-16.0,50,9654.248676
-16.0,49,10179.122908
-10.0,36,10266.229117
-2.0,62,10438.490711
0.0,41,10494.473943
6.0,35,10654.160196
0.0,41,10696.953511
-28.0,66,10997.182271
35.0,11,11011.984496
-16.0,62,11212.959202
-16.0,36,11376.077422
-4.0,61,11799.29853
44.0,2,11819.275835
-6.0,37,11917.806137
2.0,50,12285.935599
-8.0,45,12500.80915
-12.0,49,12611.025501
-8.0,41,12647.677919
-12.0,56,13006.241426
77.0,4,13147.19016
-24.0,41,13228.563201
-8.0,46,13349.512398
6.0,52,13496.467861
-20.0,55,13718.437424
-10.0,59,13958.591887
0.0,36,14220.160351
-8.0,39,14290.188764
-16.0,59,14611.154052
-4.0,42,14669.768239
-14.0,57,14760.549047
0.0,33,14963.419377
-8.0,44,15122.443014
0.0,31,15402.460335
0.0,43,15568.590438
-20.0,74,15955.333932
2.0,46,16050.602412
-12.0,50,16195.582442
-2.0,45,16282.690458
6.0,60,16857.583926
-12.0,45,17049.571594
-18.0,48,17263.684919
-4.0,37,17425.172611
0.0,40,17727.828612
-5.0,47,17873.851133
0.0,46,18117.216314
-6.0,46,18424.475631
4.0,41,18660.372563
-10.0,47,19050.157244
-4.0,41,19559.103155
2.0,49,19832.706326
-8.0,37,19936.703344
42.0,10,20042.820751
2.0,48,20253.806777
-5.0,42,20653.026851
-10.0,54,20735.343534
-8.0,44,20907.129091
4.0,49,21009.596776
-10.0,63,21120.89437
-4.0,57,21390.926356
0.0,1,21392.045159
2.0,39,21507.367125
6.0,52,21774.346836
-4.0,36,21850.492034
-32.0,52,21948.224778
2.0,47,22303.691923
-6.0,42,22578.133319
2.0,49,22634.463356
2.0,49,22776.788454
-8.0,31,22991.303372
-10.0,44,23145.99301
0.0,41,23399.788537
-2.0,41,23530.932829
-16.0,52,23864.579657
-2.0,39,24087.885151
-4.0,55,24246.350855
0.0,55,24620.400833
-4.0,31,24810.066417
-2.0,49,24988.170994
-14.0,48,25565.302548
-2.0,41,25696.350366
-4.0,59,25887.809909
-2.0,62,26250.200159
-8.0,60,26454.372747
10.0,57,26907.418325
-12.0,38,27134.946487
0.0,43,27491.901249
-14.0,46,27831.697151
6.0,34,28118.222889
-2.0,45,28269.277641
-6.0,40,28595.655832
4.0,37,28763.826772
-2.0,35,29041.989674
-8.0,36,29273.10244
6.0,60,29743.342955
-9.0,54,30011.973955
-5.0,39,30375.344924
2.0,51,30647.498831
-4.0,60,30904.430707
4.0,30,31099.295058
-2.0,39,31312.834356
-6.0,40,31598.786577
-4.0,43,31673.232654
-4.0,45,31857.642003
-14.0,42,32049.142393
-10.0,33,32186.438514
35.0,13,32276.498733
-8.0,41,32455.771821
-8.0,41,32696.814573
-5.0,43,32832.870955
0.0,51,33059.823165
-24.0,54,33219.234066
6.0,37,33540.548144
-4.0,59,34080.988503
0.0,39,34947.603851
0.0,64,35089.158482
0.0,41,35318.517757
4.0,50,35659.89153
-2.0,49,35998.916701
-2.0,55,36271.057564
-4.0,43,36520.482345
-12.0,60,36785.20139
22.0,27,36824.662661
-4.0,46,36918.473707
-10.0,43,37274.334316
0.0,34,37644.844738
0.0,45,37847.317156
-8.0,37,37958.40303
6.0,42,38071.049572
-58.0,43,38415.619759
-4.0,44,38657.847812
2.0,55,38923.1526
6.0,48,39126.772991
-4.0,55,39304.702181
-2.0,29,39410.108081
0.0,42,39542.556172
2.0,58,39798.718394
2.0,47,39935.311355
0.0,46,40224.376125
1.0,46,40334.318102
-4.0,38,40849.279632
-4.0,40,41009.114678
0.0,51,41123.765215
-12.0,44,41241.660591
0.0,55,41445.346745
14.0,53,41575.025214
0.0,40,41800.93738
36.0,41,41897.994798
4.0,44,42087.359761
2.0,54,42212.820953
14.0,48,42460.952836
-5.0,36,42567.318795
2.0,45,42871.381543
0.0,1,42871.425963
2.0,41,43307.041508
-15.0,60,43790.079396
4.0,40,43888.172724
-4.0,52,44254.907406
-2.0,45,44859.970774
-12.0,42,45107.536566
-4.0,52,45261.271882
-1.0,41,45272.156474
-4.0,40,45487.795043
-4.0,44,45634.557895
0.0,42,45694.275592
-4.0,36,45830.236785
0.0,48,45944.527132
8.0,46,46103.64771
0.0,36,46425.279292
6.0,39,46666.099928
6.0,35,46709.992429
-4.0,51,46847.354082
6.0,70,47255.283057
2.0,32,47670.659487
0.0,37,47855.866657
-4.0,39,48025.508253
-4.0,53,48114.047857
-6.0,36,48327.434635
-4.0,35,48402.666635
-6.0,46,48448.62089
-22.0,52,48874.263201
-6.0,30,49137.170973
2.0,47,49493.612551
-2.0,44,49515.251041
6.0,57,49690.822504
56.0,23,49763.419766
0.0,5,49795.333651
-2.0,49,49972.239349
-6.0,46,50602.164608
-2.0,36,50909.698162
14.0,48,51157.011928
2.0,40,51272.420824
2.0,47,51713.008542
-10.0,52,52131.37259
0.0,40,52268.730917
-6.0,52,52640.502978
27.0,20,52697.101697
0.0,30,52947.134284
0.0,49,53120.199751
-6.0,43,53203.151329
-4.0,29,53324.643667
37.0,15,53362.726785
0.0,55,53474.529644
4.0,38,53884.916371
0.0,59,54291.310721
0.0,45,54501.254667
-4.0,52,54694.047745
0.0,50,54980.546552
0.0,41,55358.08037
0.0,42,55694.387382
0.0,47,55755.459144
-2.0,45,55869.261195
30.0,41,56004.26388
4.0,40,56263.576465
-2.0,51,56580.699384
4.0,34,56686.047127
-8.0,46,56756.072997
-4.0,50,56913.118305
8.0,64,57143.043778
