#{"t_start": 1674123821.0829785, "env_id": "sokoban-turtle-v0"}
r,l,t
4.0,46,2.856899
-2.0,51,3.251959
-9.0,51,3.575918
4.0,40,3.853048
0.0,45,4.131473
-8.0,41,4.368512
-12.0,40,4.610979
-3.0,56,4.976118
-18.0,41,5.227077
-21.0,35,5.432978
-1.0,43,5.670826
15.0,39,5.89045
7.0,41,6.131797
6.0,44,6.405834
-1.0,36,6.630469
-9.0,47,6.935456
-2.0,50,7.266423
-7.0,40,7.529531
-3.0,35,7.740165
-7.0,49,8.058032
-5.0,35,8.283488
-8.0,31,8.497006
17.0,37,8.752515
-16.0,60,12.623349
0.0,41,12.880782
-7.0,37,13.106956
-9.0,31,13.30279
-2.0,32,13.48816
-1.0,50,13.808036
-13.0,40,14.063089
-16.0,47,14.3405
-3.0,54,14.662059
-17.0,53,14.974326
-8.0,43,15.210377
-6.0,37,15.438059
-23.0,52,15.745833
-2.0,33,15.936997
10.0,49,16.25672
-3.0,46,16.548123
-6.0,44,16.845052
-20.0,46,17.14344
13.0,39,17.386337
-2.0,43,17.633195
-18.0,48,17.944212
13.0,36,18.153428
7.0,44,18.441893
-9.0,38,22.197294
-3.0,33,224.139392
-9.0,51,224.562212
-4.0,63,224.976646
13.0,59,225.325709
-22.0,54,225.680459
0.0,54,226.000481
8.0,51,226.310252
2.0,50,226.609818
-19.0,47,226.915505
8.0,30,227.100328
7.0,59,227.454261
-3.0,40,227.708751
7.0,33,227.936432
-6.0,38,228.202584
12.0,44,228.499778
5.0,48,228.808496
28.0,53,229.174274
9.0,43,229.501735
7.0,41,229.760319
-3.0,44,230.039267
-1.0,38,230.265556
-5.0,32,234.047007
3.0,45,234.389537
6.0,45,234.673871
2.0,44,234.92544
2.0,49,235.225474
15.0,56,235.55141
6.0,32,235.756326
-4.0,42,236.009739
11.0,48,236.321774
0.0,48,236.617826
-2.0,50,236.949435
-1.0,48,237.284873
-9.0,39,237.515382
-1.0,37,237.739205
-3.0,43,238.006707
-21.0,42,238.295379
-5.0,42,238.545133
-12.0,44,238.84843
15.0,39,239.087947
0.0,39,239.336698
6.0,41,239.584532
18.0,41,239.830498
10.0,36,240.044407
-18.0,47,240.44563
20.0,30,240.626393
5.0,50,443.741778
1.0,51,444.150613
5.0,44,444.42665
13.0,37,444.65913
-4.0,54,445.004832
6.0,48,445.322621
16.0,34,445.530104
5.0,57,445.898546
7.0,48,446.210832
5.0,37,446.44983
10.0,45,446.743517
2.0,37,446.973032
5.0,48,447.266632
-11.0,42,447.53117
11.0,65,447.928763
10.0,37,448.148911
8.0,42,448.417666
5.0,36,448.616405
-4.0,32,448.804605
-5.0,36,449.006804
16.0,46,449.302357
-10.0,38,453.068163
12.0,37,453.322155
7.0,50,453.631973
10.0,53,453.952063
4.0,34,454.166051
2.0,46,454.453952
16.0,53,454.790478
0.0,56,455.137518
4.0,40,455.371039
-4.0,47,455.6415
-6.0,44,455.884421
-6.0,49,456.181412
16.0,45,456.458184
9.0,41,456.711311
-5.0,47,457.016196
6.0,37,457.220385
-10.0,45,457.52874
12.0,47,457.81736
22.0,49,458.129654
8.0,45,458.394075
14.0,32,458.597249
-2.0,46,458.891481
-2.0,40,459.140564
19.0,60,459.644785
29.0,37,459.852511
1.0,54,665.894107
8.0,56,666.272782
18.0,31,666.450133
18.0,37,666.663559
18.0,42,666.921287
-3.0,26,667.088615
22.0,56,667.430274
4.0,57,667.787244
0.0,49,668.073033
36.0,48,668.363557
25.0,54,668.696211
0.0,43,668.952959
9.0,57,669.299793
9.0,44,669.573988
-13.0,40,669.817375
-1.0,36,670.034963
-2.0,39,670.26193
7.0,43,670.517964
-3.0,38,670.727426
15.0,47,670.999543
17.0,42,674.86799
-9.0,35,675.107883
10.0,38,675.346274
3.0,47,675.650325
-6.0,39,675.891304
2.0,46,676.170657
15.0,46,676.477317
7.0,47,676.799425
18.0,39,677.035689
12.0,42,677.295436
16.0,37,677.515019
8.0,47,677.819512
-8.0,43,678.082685
2.0,28,678.252313
19.0,48,678.556293
-5.0,52,678.851385
12.0,47,679.121744
-6.0,39,679.370351
-14.0,37,679.615073
15.0,50,679.905514
13.0,39,680.163809
15.0,35,680.379697
-1.0,73,680.824734
0.0,48,684.691955
45.0,45,684.985685
13.0,46,685.263745
27.0,48,685.544369
17.0,46,894.335045
0.0,44,894.595873
14.0,48,894.888381
9.0,40,895.142859
8.0,40,895.399092
-6.0,34,895.63173
28.0,51,895.981105
9.0,52,896.314627
19.0,47,896.640467
20.0,39,896.881579
7.0,45,897.178259
12.0,53,897.4982
10.0,48,897.787636
8.0,46,898.0575
10.0,40,898.301002
17.0,54,898.625822
24.0,49,898.923949
17.0,70,903.121483
26.0,46,903.408109
33.0,45,903.679843
25.0,48,903.983506
0.0,47,904.258405
17.0,55,904.608831
13.0,34,904.822258
9.0,59,905.209745
5.0,44,905.481369
7.0,42,905.743994
28.0,54,906.088755
-8.0,48,906.396282
1.0,56,906.738199
0.0,38,906.969284
27.0,59,907.313465
14.0,48,907.618108
7.0,59,907.977509
9.0,45,908.263491
7.0,53,908.615337
30.0,41,908.882856
27.0,45,909.173067
1.0,37,909.518965
-6.0,42,909.776933
14.0,45,910.058839
7.0,48,910.361969
5.0,40,910.610592
13.0,51,1116.640923
1.0,48,1116.948776
3.0,49,1117.248996
22.0,57,1117.584019
10.0,48,1117.872578
13.0,61,1118.233003
14.0,57,1118.579717
11.0,50,1118.879553
0.0,52,1119.192199
15.0,34,1119.420758
36.0,50,1119.745433
17.0,54,1120.092724
12.0,48,1120.388313
15.0,55,1120.736677
20.0,35,1120.968117
12.0,34,1121.182738
-2.0,47,1125.291463
3.0,53,1125.67062
9.0,57,1126.030792
24.0,38,1126.273738
7.0,45,1126.60313
18.0,47,1126.933646
-2.0,46,1127.256283
0.0,51,1127.589193
4.0,43,1127.888861
38.0,49,1128.234213
3.0,39,1128.484639
33.0,58,1128.866768
28.0,44,1129.162953
9.0,50,1129.490935
3.0,48,1129.807892
6.0,39,1130.086347
36.0,79,1130.617672
8.0,46,1130.912514
18.0,52,1131.250005
17.0,58,1131.631013
18.0,56,1132.113228
35.0,47,1132.441492
5.0,50,1132.779455
24.0,52,1133.114326
7.0,44,1133.455022
25.0,47,1133.743865
8.0,47,1344.057668
15.0,48,1344.387214
20.0,53,1344.741128
4.0,52,1345.0757
21.0,49,1345.397573
18.0,50,1345.70825
13.0,49,1346.004312
31.0,57,1346.379766
15.0,53,1346.746107
11.0,50,1347.108819
24.0,39,1347.379107
17.0,57,1347.786757
24.0,45,1348.104362
19.0,42,1348.386494
25.0,52,1352.668897
17.0,40,1352.993297
29.0,49,1353.324771
36.0,44,1353.617647
11.0,43,1353.914561
8.0,58,1354.323678
