#{"t_start": 1673787728.6887016, "env_id": "sokoban-turtle-v0"}
r,l,t
-22.0,75,1193.911777
-6.0,65,2393.119385
-12.0,81,4140.772943
-4.0,85,5051.401256
-16.0,64,6233.426558
-18.0,61,7499.659706
-8.0,62,8749.418065
-12.0,54,10053.333207
-14.0,62,10607.983518
-14.0,63,11965.240474
-20.0,76,12959.883309
-14.0,66,13973.248458
-10.0,65,15002.463099
-8.0,71,16942.186417
-28.0,62,19357.959893
0.0,58,19763.518687
-14.0,71,20506.59569
-22.0,62,21485.068259
-4.0,89,22601.507675
-17.0,63,23041.834596
-38.0,72,23896.14401
-12.0,64,24457.652014
-18.0,108,26000.890374
-48.0,71,27762.395034
-26.0,68,29084.905485
0.0,57,29553.659497
-22.0,62,31099.992641
-16.0,68,32655.426136
-14.0,82,33559.06708
5.0,84,34708.885843
-12.0,70,35778.288285
-14.0,73,37425.818592
0.0,49,38088.214886
-14.0,72,38189.706846
-2.0,61,38685.387657
2.0,62,39175.10437
-10.0,85,42791.086338
-8.0,57,43285.47944
-8.0,61,44301.160355
-15.0,77,45476.544132
-6.0,88,45738.409645
-6.0,62,46392.373426
-10.0,64,46788.791237
-6.0,59,47393.283538
-16.0,75,48204.763447
0.0,60,49984.915707
6.0,72,50892.881236
-14.0,83,51146.929432
4.0,51,52861.216267
-8.0,65,53676.713409
-9.0,63,55302.47662
-4.0,50,56080.423211
-26.0,74,56700.815503
6.0,67,57180.393478
-12.0,67,57576.855485
-4.0,52,58236.00402
-10.0,62,58659.137758
-14.0,62,59505.960245
-20.0,62,60408.728375
-22.0,64,61372.885717
-20.0,78,62666.38498
-22.0,62,64170.664766
4.0,53,64545.494935
2.0,61,65551.516062
0.0,58,66067.742113
-10.0,68,66825.273265
4.0,52,67970.42197
-8.0,74,69326.890391
0.0,64,69574.966033
2.0,73,69735.722691
-12.0,86,70924.09656
-19.0,53,71476.974312
-12.0,74,73405.571929
0.0,75,74282.023787
6.0,92,75304.841245
-10.0,70,75882.947219
4.0,71,76840.954787
0.0,63,77397.885982
0.0,74,77874.025528
-12.0,54,77991.993853
2.0,78,78350.884796
0.0,61,78868.908012
-4.0,59,79728.51974
-2.0,54,80617.920683
-4.0,72,81266.174815
-4.0,64,82339.628132
4.0,70,83049.565547
0.0,83,83708.208462
-8.0,63,84980.28507
-1.0,57,85765.844248
2.0,51,86816.026143
-6.0,64,87718.292552
-4.0,62,88556.381364
104.0,16,88606.66884
14.0,94,89354.808576
-2.0,63,90182.921189
-12.0,93,91175.363701
-6.0,86,91807.865351
-4.0,64,91967.367028
-6.0,80,92290.190465
-7.0,61,92579.019962
12.0,62,92831.373027
-2.0,83,93670.990192
-6.0,73,96347.262169
0.0,84,97399.19728
-13.0,70,97875.799257
8.0,75,99045.111174
4.0,55,100133.935723
-8.0,96,101457.346072
81.0,70,102576.843043
-4.0,74,102995.855736
-4.0,77,104223.69752
4.0,65,104914.005991
-14.0,93,105597.797077
6.0,62,105802.539603
2.0,70,106642.531945
40.0,33,106689.582107
-8.0,79,107158.289248
0.0,54,108125.97725
2.0,78,110528.750234
-10.0,51,112657.10955
-2.0,69,113513.644366
-6.0,56,114231.124306
0.0,84,114849.633312
208.0,25,115032.765099
-2.0,72,115517.373409
4.0,88,116420.106567
-5.0,71,117580.460565
12.0,60,117793.553586
0.0,73,118079.552098
-8.0,60,118500.479445
-10.0,70,118856.348598
10.0,80,121159.476501
8.0,74,122127.678003
-6.0,103,123918.519365
0.0,62,124061.674109
-4.0,57,124370.737191
-2.0,69,124911.627352
-5.0,80,125461.010162
0.0,54,125942.857062
12.0,65,126672.291875
-2.0,77,127680.583249
10.0,56,128561.135508
-2.0,86,129662.770782
6.0,87,130604.290107
0.0,64,131227.281362
14.0,69,132489.352885
-10.0,52,133412.835692
4.0,70,133616.656271
14.0,74,134312.550468
-4.0,60,135191.2599
-6.0,78,135665.376698
-4.0,60,135890.010321
4.0,74,136176.023556
0.0,63,136636.262452
4.0,63,136879.202628
-2.0,54,136928.430255
4.0,65,137892.728222
0.0,77,138819.036243
4.0,84,140255.190113
-6.0,61,141405.442058
