#{"t_start": 1673787728.5818498, "env_id": "sokoban-turtle-v0"}
r,l,t
-20.0,76,1310.351053
-4.0,55,2171.640122
-8.0,69,3986.074068
-20.0,58,4346.773411
-14.0,58,5122.093651
0.0,1,5169.237132
0.0,1,5212.575656
-24.0,85,6968.983982
-32.0,68,8713.545268
-16.0,66,9815.77232
-8.0,54,10295.208698
-10.0,75,11858.802974
-4.0,72,12812.530862
49.0,12,12991.927729
6.0,56,13826.34324
-28.0,73,15002.568352
-14.0,70,16941.970995
-10.0,60,19357.824331
-4.0,65,19845.167858
-8.0,47,20270.072345
-28.0,79,21484.910852
-2.0,77,22323.237953
-18.0,78,23041.940833
-32.0,62,23840.446192
-6.0,91,24473.184071
-14.0,60,25183.465871
-18.0,63,26722.730582
-8.0,72,28359.667327
-16.0,68,29408.091876
-12.0,82,30896.654513
-34.0,61,32371.721255
-14.0,52,33307.526459
-4.0,61,33682.450694
-12.0,59,34707.985815
6.0,80,35845.628854
-10.0,77,37550.632871
6.0,78,38183.975385
-12.0,71,38537.745731
-8.0,50,38845.226061
0.0,58,39831.627526
0.0,69,42851.945913
-4.0,74,43416.703438
10.0,75,45198.627108
-10.0,73,45677.648543
0.0,69,45740.889726
-16.0,76,46681.956976
-10.0,49,46924.847572
-8.0,64,47717.597184
0.0,82,49212.375529
-8.0,76,50695.598981
6.0,64,50986.133014
-10.0,74,51681.418832
-10.0,63,53168.758772
-4.0,69,54735.111825
0.0,65,56079.938456
2.0,66,56608.283747
-6.0,69,57131.456375
-6.0,52,57436.752372
-16.0,57,58145.681671
-28.0,79,58611.908669
-28.0,77,59548.630258
4.0,66,60833.102501
-8.0,72,61375.855731
-6.0,60,62666.789779
4.0,54,63973.261445
-19.0,66,64635.245283
137.0,2,64803.028589
-8.0,61,65617.438348
-10.0,81,66642.375167
12.0,92,68131.500108
-4.0,62,69325.67284
-8.0,77,69575.727399
-6.0,81,69744.391471
0.0,60,70680.780124
2.0,62,71408.308057
-16.0,65,72967.913435
-2.0,68,74216.811136
-8.0,73,75132.701122
-6.0,70,75479.468658
-6.0,75,76477.308304
-20.0,65,77265.125947
-2.0,59,77515.984766
-8.0,86,77955.647698
0.0,49,78194.063421
8.0,88,78592.076402
0.0,77,79728.624028
6.0,74,80976.442641
-13.0,81,82027.053254
-4.0,51,82341.378978
-2.0,73,83258.801831
-4.0,65,83708.516309
10.0,63,84980.520362
4.0,53,85619.663232
2.0,72,87315.769523
-1.0,77,87893.590458
-5.0,60,88906.486999
6.0,69,89274.219305
8.0,65,90098.578671
16.0,68,90966.010968
-3.0,76,91509.163475
-14.0,58,91889.956599
8.0,88,92013.300011
4.0,61,92422.992106
-6.0,58,92581.169364
2.0,67,92909.127439
0.0,74,93726.670327
-4.0,79,96456.494387
-4.0,74,97400.032368
-16.0,63,97875.904908
19.0,79,99045.727967
-2.0,64,100322.145245
0.0,84,101457.846917
5.0,76,102610.39289
6.0,65,102995.732315
4.0,56,103522.771723
-21.0,79,104763.161991
4.0,77,105344.687618
219.0,6,105421.555047
-5.0,74,105801.487828
-2.0,67,106517.946172
-1.0,53,106882.48902
8.0,75,107237.486832
3.0,64,108628.777335
0.0,64,110616.607925
10.0,57,112820.789209
4.0,60,113513.534659
2.0,56,114190.830163
0.0,67,114673.814582
0.0,62,115265.78191
14.0,59,115596.971664
0.0,65,116356.225712
4.0,60,116939.710482
4.0,56,117671.261807
-10.0,78,118042.429502
0.0,56,118269.1477
2.0,69,118617.073171
2.0,79,120183.888357
-10.0,75,121619.607083
4.0,59,122372.248348
4.0,75,123918.607477
10.0,71,124063.132213
-4.0,69,124577.325727
0.0,66,124913.738473
0.0,69,125517.011578
4.0,66,126396.61283
-4.0,74,126909.34821
4.0,71,128136.5447
6.0,55,128998.087703
0.0,62,129615.80364
0.0,63,130451.265101
0.0,69,131131.558947
2.0,62,132026.060777
-2.0,50,132935.08775
-2.0,58,133417.183496
2.0,64,133764.993303
156.0,66,134473.80924
18.0,83,135434.58563
0.0,64,135668.601629
0.0,61,135943.895223
12.0,65,136324.976715
8.0,80,136832.037171
118.0,6,136876.993042
11.0,65,136883.480874
8.0,60,137335.229619
-5.0,68,138568.913831
0.0,59,138966.786134
24.0,67,140851.230152
-4.0,51,141405.86249
12.0,82,143738.488938
4.0,91,144371.536031
4.0,79,145485.165149
12.0,73,146790.579842
8.0,80,147647.737669
1.0,81,148610.471272
8.0,60,148845.542943
-3.0,60,149583.740135
6.0,74,150161.365638
6.0,88,150766.149755
16.0,60,150899.569893
18.0,85,152937.445446
2.0,58,153386.617684
-6.0,71,153923.085993
-2.0,70,155029.264573
4.0,50,156180.630642
16.0,83,157604.102476
0.0,61,158484.348473
-4.0,61,159158.024838
20.0,69,159944.081077
4.0,52,160629.260409
12.0,64,162417.042764
-2.0,65,163163.390476
16.0,83,163582.185041
-8.0,86,163703.172111
12.0,64,164143.491712
12.0,100,165170.506214
6.0,94,165939.567781
10.0,58,166456.529363
10.0,87,167845.819234
2.0,68,169435.045811
6.0,71,170309.575586
3.0,76,170993.567713
8.0,50,171089.043925
-2.0,80,172270.118617
14.0,86,173281.205467
0.0,60,174258.503458
4.0,57,175956.506993
14.0,75,176532.810551
4.0,65,177200.994686
10.0,68,177977.435377
-4.0,58,178776.93552
3.0,62,179389.143091
30.0,72,181416.545924
4.0,64,181629.872421
8.0,57,181864.502918
14.0,84,183256.937446
16.0,76,184595.929355
14.0,66,185170.571092
12.0,73,185666.884919
-1.0,74,186781.682489
4.0,59,187506.239559
-2.0,58,188372.191815
0.0,92,189379.528276
8.0,71,189615.114602
10.0,54,189805.137006
8.0,61,189908.318603
8.0,62,191863.19914
8.0,85,192934.803305
4.0,60,193663.468096
12.0,69,194876.094099
5.0,92,196054.968961
6.0,86,196870.40901
74.0,17,197123.294506
-4.0,75,198370.702539
4.0,64,198853.335587
54.0,78,199647.350854
2.0,82,200171.222199
8.0,80,200501.984431
12.0,58,201427.845921
4.0,62,202187.450052
22.0,75,203906.812583
-1.0,107,204922.038351
3.0,58,205250.103011
16.0,58,205688.085954
8.0,87,205903.045713
4.0,80,206967.881145
14.0,92,207492.038842
12.0,71,208246.001257
18.0,60,208700.374627
16.0,60,209429.932762
8.0,73,210501.546332
6.0,70,210889.50559
24.0,75,211764.681129
6.0,62,212224.890031
4.0,61,213398.106082
0.0,106,214016.971953
-4.0,57,214345.565014
0.0,2,214382.971243
181.0,70,215262.975094
10.0,74,216601.467962
8.0,89,217634.055186
8.0,82,218471.915488
0.0,77,219808.952342
7.0,72,220733.540372
4.0,75,221110.305414
