#{"t_start": 1673787496.9194617, "env_id": "sokoban-turtle-v0"}
r,l,t
-24.0,64,184.32845
-8.0,66,226.856235
-12.0,74,459.51493
-30.0,60,586.64792
-12.0,67,923.230084
-6.0,93,1056.438147
0.0,1,1061.415181
37.0,3,1073.788726
-38.0,60,1350.83661
-28.0,57,1485.234105
4.0,59,2006.722328
-6.0,65,2231.054254
0.0,69,2700.837603
-26.0,69,2934.667772
4.0,53,3704.622693
-6.0,71,4170.827033
-12.0,80,4805.354549
-14.0,61,5072.220549
-44.0,80,5366.363976
-8.0,76,5640.859743
2.0,71,5762.047501
-14.0,67,5871.904624
-8.0,64,6052.008689
-18.0,56,6138.444496
-14.0,67,6244.635804
-18.0,66,6452.275012
-38.0,71,6872.023917
-8.0,70,7371.601611
-8.0,66,7954.578378
-35.0,65,8281.330053
-2.0,74,8491.99136
-2.0,59,8935.662125
2.0,61,9640.477547
37.0,15,9690.173926
-14.0,65,9923.02012
-32.0,63,10197.360188
6.0,78,10505.94652
-4.0,68,11171.809058
5.0,93,11930.221321
-23.0,89,12315.671661
7.0,59,12588.819494
-8.0,83,13071.036023
34.0,14,13111.859593
6.0,74,13570.704396
-8.0,76,13812.200465
-2.0,68,14567.263123
2.0,65,14859.970312
-4.0,59,16293.525039
-18.0,64,16419.537064
6.0,59,17112.513779
-10.0,62,17348.66535
-8.0,60,17576.907694
-32.0,63,18101.015106
-6.0,76,18597.050495
-8.0,64,18758.582833
-16.0,86,19364.071493
0.0,71,19853.784928
-24.0,71,20097.874439
-2.0,80,20812.392365
-22.0,74,20999.39031
2.0,73,21274.791264
-14.0,59,21411.962604
-8.0,71,21678.015411
-10.0,58,22227.535682
-4.0,52,22788.653433
-20.0,79,23247.26084
-2.0,72,23537.385228
-14.0,68,23997.260306
-6.0,67,24122.387581
-4.0,75,24497.688416
4.0,49,24623.170564
-4.0,80,24913.81921
-12.0,65,25235.271858
8.0,77,25294.423932
-8.0,68,25421.039709
0.0,60,25660.626186
6.0,50,26030.920153
34.0,1,26039.317676
-8.0,61,26823.866631
-8.0,70,27121.795247
2.0,76,28067.005635
-12.0,50,28136.790096
-4.0,59,28683.401794
10.0,79,29222.280107
-4.0,72,29342.328442
-14.0,66,29514.283305
0.0,66,29938.855596
5.0,77,30329.605511
-12.0,57,30396.376992
2.0,63,30742.762757
0.0,64,31151.815672
-6.0,55,31433.978878
-14.0,63,31811.113437
-4.0,69,32266.920473
0.0,1,32287.911714
-6.0,61,32598.106375
38.0,5,32631.397089
2.0,55,33119.602404
-10.0,56,33332.853673
-4.0,52,33573.031916
-4.0,56,33834.68765
-6.0,63,34050.280539
0.0,1,34077.970357
28.0,2,34078.419797
0.0,75,34822.666863
-4.0,74,34979.098195
4.0,63,35287.371908
0.0,59,35612.1888
4.0,63,35979.152487
-4.0,78,36601.157008
0.0,56,36725.435773
-4.0,70,37123.333747
4.0,59,37694.999124
1.0,52,37944.393499
-2.0,74,38464.047215
-2.0,70,38961.775742
-4.0,63,39317.574312
-2.0,75,39570.858441
10.0,51,40043.504145
-8.0,69,40083.962274
14.0,52,40436.818215
8.0,55,40957.828135
4.0,66,41220.574481
-4.0,62,41648.618363
-10.0,59,42148.279494
0.0,65,42310.636145
36.0,10,42322.835043
8.0,55,42503.542554
1.0,72,42677.461936
8.0,78,42835.474499
2.0,59,43002.201793
6.0,59,43143.916306
0.0,73,43681.986256
7.0,60,44002.61312
14.0,80,45063.395818
6.0,48,45425.592186
2.0,72,45975.002158
0.0,66,46460.570066
-12.0,60,46696.715211
-4.0,60,46784.95552
-14.0,69,46912.558267
-2.0,60,47025.026255
-2.0,62,47326.266081
8.0,58,47676.543403
4.0,73,48312.666246
3.0,63,48450.22055
-2.0,70,48885.79271
-12.0,64,49407.1408
0.0,79,49719.593399
-6.0,53,50291.906277
-110.0,66,50863.095835
12.0,73,51199.017812
-2.0,70,51568.596991
-6.0,53,51713.365566
-3.0,61,51864.762665
-4.0,80,52336.69056
10.0,81,53153.80774
8.0,61,53591.652404
2.0,65,53631.058841
0.0,63,53796.445941
2.0,54,54653.051104
0.0,62,55319.381929
0.0,77,55598.449344
85.0,61,56160.707014
2.0,59,56407.405877
-8.0,73,56452.003172
9.0,74,56948.953786
3.0,74,57284.519089
51.0,8,57328.565673
-14.0,72,57963.044783
18.0,71,58521.354689
6.0,57,59063.273307
-6.0,52,59422.409161
2.0,73,59869.524598
2.0,49,60046.292268
1.0,62,60206.450059
0.0,77,60339.376267
2.0,57,60511.693017
4.0,58,60918.573816
2.0,52,61256.125879
-2.0,69,61688.698331
4.0,56,61804.073256
-5.0,64,62101.70787
