#{"t_start": 1673787952.5791705, "env_id": "sokoban-turtle-v0"}
r,l,t
-32.0,71,112.098935
-14.0,64,271.198465
-19.0,59,711.759971
-20.0,60,1490.175353
-3.0,71,2135.128489
85.0,26,2454.516941
-22.0,56,2644.992151
-20.0,83,2774.807179
-12.0,65,3043.05646
6.0,72,3263.308789
34.0,22,3435.252276
-22.0,69,3621.201544
-16.0,60,3787.90976
-28.0,61,3949.171082
-21.0,76,4188.154446
-2.0,67,4401.210545
-20.0,67,4886.436797
-18.0,75,5049.786983
28.0,2,5052.124061
-10.0,72,5326.705074
-34.0,77,5470.54751
10.0,45,5518.422665
-8.0,47,5581.329998
8.0,70,5769.677575
-12.0,65,6046.99314
-10.0,59,6146.309684
4.0,55,6254.547839
-14.0,101,6766.99237
-16.0,59,7071.817928
39.0,6,7084.868086
-22.0,69,7765.329107
-4.0,49,7957.058791
-30.0,74,8272.900928
-22.0,66,8359.630995
-2.0,67,8906.212825
-18.0,67,9112.672403
0.0,1,9120.887374
-1.0,51,9559.287095
-4.0,68,10008.473143
-6.0,58,10361.032444
2.0,59,10508.818697
-14.0,66,10584.407461
-18.0,75,10821.145508
2.0,70,11301.347579
-14.0,59,11439.142104
-4.0,61,11719.934656
-6.0,66,12506.831548
-18.0,70,13208.372266
-8.0,65,13610.845627
4.0,67,14126.791558
-10.0,76,14505.38416
-8.0,64,14661.762704
-30.0,77,14922.908621
-12.0,72,15202.377958
4.0,75,15448.303288
4.0,78,15950.636441
16.0,78,16071.977792
-10.0,83,16477.422396
-8.0,67,16771.734755
-14.0,57,16993.497079
-2.0,58,17241.15879
83.0,55,17339.054637
-13.0,69,17619.06694
10.0,73,17862.851666
-12.0,50,18311.855017
-5.0,65,18624.727462
-10.0,60,18796.006787
-4.0,65,19371.870069
-11.0,67,19523.043208
159.0,42,19706.040124
4.0,71,20405.15361
2.0,68,20765.426244
8.0,68,21062.303186
-8.0,96,21792.845271
2.0,68,22154.642511
-4.0,62,22328.497158
0.0,1,22329.442183
-8.0,74,22811.346491
30.0,14,22905.960152
-16.0,56,23404.030775
-14.0,69,23811.276162
-2.0,55,24347.030331
0.0,67,24781.80064
-4.0,54,24826.778646
0.0,67,24878.046166
10.0,71,25149.077263
2.0,88,25499.123724
-14.0,64,26152.10681
34.0,2,26214.791858
-10.0,64,26464.853492
-2.0,62,26539.368531
6.0,64,26899.580084
0.0,56,27041.208742
38.0,20,27187.581753
4.0,69,27446.317837
-2.0,50,27848.338436
-10.0,56,27965.193308
8.0,68,28341.47024
69.0,58,29407.088571
-6.0,56,29649.396092
-12.0,59,29890.393646
6.0,68,30529.294241
2.0,64,31232.482453
-14.0,74,31795.406062
-6.0,73,32059.715678
-4.0,65,32254.671617
-10.0,75,32512.17151
8.0,72,32792.238775
-2.0,58,32886.26232
-8.0,68,33186.223963
-4.0,70,33361.448671
-4.0,94,33537.470945
47.0,13,33624.896328
-7.0,68,33911.409895
-13.0,63,34228.668927
-7.0,86,34297.114442
-4.0,67,34677.654923
-7.0,69,34931.566925
-4.0,72,35249.392009
-5.0,72,35585.639024
50.0,35,35692.204285
-6.0,78,35885.178136
-2.0,49,36006.815507
0.0,84,36376.852399
-8.0,69,36564.069247
-8.0,71,36887.037333
6.0,64,37169.571088
-16.0,68,37442.711375
10.0,71,37555.607254
-6.0,72,37713.364331
-14.0,49,38055.432983
4.0,76,38829.246935
-2.0,68,39454.541371
0.0,68,39942.522844
0.0,79,40370.577814
54.0,38,40458.866986
12.0,62,40677.206032
4.0,73,41032.728333
-2.0,81,41501.109003
2.0,63,41803.239775
8.0,63,41946.653559
-14.0,62,42080.820714
4.0,68,42264.449161
2.0,65,42629.671671
