#{"t_start": 1673788330.3345833, "env_id": "sokoban-turtle-v0"}
r,l,t
-26.0,55,307.556115
-28.0,79,502.042172
4.0,60,774.307661
37.0,4,803.553912
-16.0,66,1234.6886
-19.0,66,1666.899047
-13.0,73,1960.365632
-2.0,79,2359.060352
-18.0,56,2422.492404
140.0,19,2472.334844
-22.0,74,2820.917846
-36.0,69,3327.811577
-26.0,62,3642.357605
-20.0,75,3822.968602
0.0,63,4309.553913
-14.0,68,4567.880737
2.0,60,4922.290165
6.0,59,5207.404719
-24.0,73,5455.914109
-18.0,63,5984.790348
-44.0,68,6190.913794
4.0,66,6369.40451
-16.0,74,6576.695786
-6.0,64,6908.488472
-8.0,61,7070.201853
-4.0,76,7306.244443
-10.0,67,7605.085819
-16.0,76,8197.74714
-2.0,73,8545.168386
-22.0,58,9117.05737
-24.0,61,9653.140751
-26.0,80,10340.861482
0.0,55,10741.595419
4.0,66,11095.704468
-16.0,72,11258.248149
-26.0,86,12092.604389
-4.0,56,12513.405018
-14.0,70,13356.000885
0.0,78,13607.527356
-3.0,68,13763.329175
-12.0,58,14091.415122
-14.0,68,14559.131764
-10.0,77,15004.759531
-8.0,73,15562.454415
4.0,76,15830.180507
2.0,77,16476.570101
6.0,69,16904.79354
-10.0,69,17075.66735
-4.0,77,17305.686971
0.0,60,17867.31994
-12.0,71,18217.560049
2.0,61,18371.656223
-2.0,62,18790.114353
-6.0,73,18808.093241
-10.0,76,18958.820413
-16.0,82,19212.898247
-2.0,60,19752.587634
6.0,57,19894.184343
-12.0,48,20294.59183
-6.0,70,20723.95553
-2.0,72,21127.971411
-12.0,60,21451.507231
-8.0,65,22005.66416
-16.0,49,22241.1017
0.0,62,22678.400925
-4.0,56,22888.266258
-6.0,66,23154.675331
-24.0,66,23448.097054
-6.0,58,23771.132774
-9.0,74,24377.301725
-2.0,56,24620.977344
4.0,62,25145.352365
-8.0,69,25461.68645
2.0,54,25766.241589
-3.0,67,26166.347884
-4.0,73,26410.184758
-8.0,80,27303.486121
-12.0,58,27510.680282
-2.0,68,27825.133402
0.0,68,28142.862121
-14.0,64,28679.448165
0.0,67,29319.092011
-4.0,64,29578.878442
-4.0,59,30093.041286
-2.0,72,30482.421639
-6.0,51,30958.105662
6.0,72,31351.765596
0.0,61,31655.348925
120.0,1,31681.204829
-8.0,66,32077.239166
-2.0,68,32365.301028
-8.0,60,32667.37371
0.0,66,33360.46425
-4.0,82,33619.448749
2.0,55,34209.227288
-8.0,66,34722.994618
-8.0,67,35006.416806
-4.0,72,35454.10812
3.0,85,35943.028416
0.0,67,36291.448197
53.0,7,36337.536186
-2.0,68,36598.001271
10.0,71,36831.834895
12.0,71,37312.073091
-2.0,77,37756.617369
10.0,53,38067.922195
-6.0,54,38189.609996
-14.0,59,38446.933125
8.0,56,38645.497103
-2.0,80,38846.392702
6.0,70,39154.195513
12.0,51,39314.273046
-2.0,73,39594.633152
-2.0,66,39828.016867
-8.0,70,40311.278205
-16.0,66,40452.233177
-6.0,65,40582.374291
10.0,68,40812.124966
0.0,63,41046.532606
0.0,54,41617.919284
-6.0,60,41863.478754
-12.0,80,42102.51955
-4.0,64,42672.148465
-7.0,73,43525.466472
2.0,57,43609.95892
2.0,52,43895.782579
-4.0,63,44433.070432
1.0,50,44907.721294
2.0,91,45333.564915
8.0,64,45595.021022
8.0,59,45932.647314
3.0,51,46279.069742
-8.0,75,46694.714406
-2.0,58,47373.010629
-4.0,60,47666.179957
2.0,69,47902.58332
-5.0,60,48150.054052
-4.0,66,48666.95326
8.0,83,49883.066928
-4.0,64,50202.763433
0.0,47,50470.948411
0.0,66,50684.657154
-14.0,61,51159.701003
-4.0,77,51583.44131
-6.0,75,52046.98137
4.0,59,52472.543634
0.0,61,52944.193523
8.0,56,53120.30188
0.0,56,53253.190759
-6.0,66,53391.746109
-3.0,71,53725.364481
4.0,70,54177.255543
0.0,79,54624.544165
4.0,67,55084.097995
2.0,71,55567.095305
-4.0,67,56068.524102
-8.0,47,56665.387281
0.0,50,56861.018579
-4.0,62,57666.894506
0.0,49,58001.461219
10.0,1,58057.233569
8.0,70,58283.802778
-2.0,62,58562.469986
-5.0,55,58820.493379
-6.0,57,59033.04429
6.0,58,59513.784812
4.0,88,60028.746998
-4.0,56,60500.872805
5.0,79,60825.374965
4.0,49,60868.15604
-8.0,89,61451.391324
2.0,64,61580.550326
-2.0,64,61730.995659
12.0,88,62469.73561
0.0,64,62823.030843
-6.0,102,63205.462175
0.0,68,63423.531425
4.0,56,63781.122274
0.0,67,64184.866779
-12.0,65,64588.765526
-2.0,62,65193.184388
4.0,61,65434.019489
-8.0,70,65654.279011
-6.0,53,65985.615295
-3.0,62,66130.258576
4.0,61,66202.605295
4.0,74,66392.186016
-10.0,84,66725.566408
22.0,77,66901.052785
-14.0,67,67998.618009
4.0,60,68775.056861
-10.0,82,69395.436713
8.0,86,69733.626453
8.0,68,70216.372218
2.0,74,71044.400246
2.0,69,71304.977659
2.0,47,71635.569251
6.0,84,71920.675804
8.0,78,72422.655397
10.0,62,72832.657622
2.0,58,73322.031375
-5.0,71,73670.288132
125.0,44,73891.138285
2.0,62,74128.470348
6.0,53,74769.281928
6.0,69,75059.734515
-8.0,68,75362.738071
-2.0,54,75567.789105
2.0,65,76259.964477
0.0,61,76642.133574
-4.0,84,77563.713075
6.0,55,78136.558172
-8.0,74,78518.64866
0.0,53,78903.795375
-4.0,58,79218.72397
-6.0,50,79475.592304
8.0,69,79695.771361
8.0,69,80065.264187
8.0,97,80248.894581
-4.0,68,80663.858647
12.0,68,81255.284369
-4.0,64,81755.423659
-2.0,60,81950.145775
42.0,13,81981.597004
0.0,74,82529.908597
10.0,94,83183.032177
-6.0,72,83746.445584
39.0,4,83856.620091
-10.0,59,84506.96602
4.0,74,84891.795986
2.0,58,85092.673917
4.0,70,85540.783363
0.0,77,85718.759448
-8.0,79,85897.667959
-6.0,64,86095.821386
2.0,54,86251.258856
0.0,71,86822.612651
8.0,60,87264.769169
0.0,90,88007.6814
-2.0,73,88157.009536
9.0,93,88503.980697
0.0,58,88862.346534
49.0,56,89031.304784
-2.0,57,89399.369169
0.0,71,89818.81441
62.0,63,90146.428547
-2.0,77,90858.728708
-6.0,66,91128.049636
9.0,61,91587.026143
0.0,90,92639.763158
-6.0,55,92935.033587
-1.0,70,93450.964415
4.0,76,93892.914712
-7.0,54,94168.710233
0.0,71,94384.226167
-2.0,69,94803.572338
2.0,81,95079.948972
2.0,76,95271.852937
4.0,60,95566.051832
-26.0,72,96158.323293
4.0,82,97203.281426
-8.0,54,97494.567931
0.0,47,97718.93889
6.0,83,97961.795078
-11.0,71,98334.992808
-2.0,72,98828.609281
12.0,56,99230.468186
30.0,84,99469.207624
14.0,51,99796.424131
-6.0,82,100222.323683
-2.0,71,100408.524687
-4.0,60,100541.738386
2.0,71,100793.497911
6.0,66,101440.634543
6.0,84,102148.635815
6.0,60,102501.164525
6.0,71,102898.603348
0.0,63,103352.309975
-2.0,77,103440.736326
100.0,1,103469.908612
4.0,60,103625.368362
-2.0,56,103726.410284
6.0,70,104104.915591
2.0,72,105141.841215
-4.0,86,105556.623173
4.0,70,105762.113681
0.0,68,106033.138906
2.0,81,106555.719413
40.0,51,106803.184617
-4.0,83,107285.227803
-7.0,89,107901.763195
8.0,80,108250.378252
-4.0,71,108488.569271
-8.0,59,108783.45167
-4.0,83,109063.829664
5.0,73,109281.803277
16.0,75,109459.960772
14.0,66,109738.856701
-10.0,53,110113.36172
2.0,65,110320.201726
-2.0,76,110758.162886
44.0,2,110772.033139
2.0,48,110972.419764
-10.0,81,111225.567313
-4.0,62,111524.132954
-2.0,67,111845.801293
-10.0,78,112346.69469
8.0,71,112590.125653
18.0,62,112755.759825
-8.0,77,113067.694631
4.0,73,113722.041042
-33.0,65,113860.131734
-2.0,74,114263.510536
13.0,68,114835.454523
-6.0,64,115002.020099
8.0,70,115372.554172
-5.0,74,115502.804116
12.0,84,115806.543942
0.0,55,115970.009862
0.0,66,116124.472435
-4.0,70,116407.50345
0.0,60,116587.47929
8.0,67,117129.156665
-6.0,77,117970.725146
2.0,63,118460.242951
8.0,79,118890.791785
6.0,79,119692.634006
-21.0,60,120082.304572
0.0,63,120277.956218
10.0,78,120810.346744
2.0,71,121140.912897
60.0,6,121168.137588
4.0,69,121429.623925
-4.0,62,121584.952888
-2.0,81,121722.457746
0.0,71,122054.692989
4.0,59,122299.218276
0.0,59,122839.468724
-8.0,54,123657.849153
-6.0,79,124370.310788
0.0,93,124813.843367
-2.0,81,125334.030823
-2.0,64,125563.426504
0.0,73,126125.061911
4.0,74,126463.649195
0.0,69,126802.331447
0.0,73,127136.748164
8.0,72,127440.746425
4.0,67,127685.902566
0.0,85,128118.530455
6.0,84,128573.20892
9.0,50,128772.276135
-2.0,43,129423.718327
-4.0,82,129902.892421
-14.0,89,130049.678764
2.0,52,130268.521763
0.0,68,130442.410721
-2.0,103,131106.824294
0.0,89,131659.547605
8.0,83,132025.995702
2.0,75,132366.190897
33.0,34,132644.172773
-2.0,77,132882.529589
5.0,79,133094.625201
0.0,64,133354.329059
6.0,64,133682.197446
40.0,53,133975.65112
-2.0,50,134041.081954
6.0,66,134268.909179
4.0,75,134603.7667
8.0,57,134818.172549
-2.0,64,135350.793343
8.0,82,136123.758087
-4.0,46,136267.113007
2.0,73,136528.67751
-10.0,45,136921.781638
-4.0,118,137512.823384
6.0,75,137670.198466
0.0,87,138089.555198
8.0,72,138565.632261
28.0,83,138769.132133
0.0,1,138782.289831
33.0,2,138793.323881
14.0,97,139134.553097
0.0,72,139715.406463
-6.0,87,140367.12176
4.0,88,140655.436584
-6.0,83,141090.577309
14.0,62,141349.77839
10.0,76,142003.065863
-4.0,70,143025.009302
0.0,55,143685.72793
-8.0,58,144416.360703
-2.0,75,145057.270064
-4.0,57,145220.588715
-4.0,70,145448.292627
5.0,87,145815.067906
39.0,2,145825.545344
8.0,71,146301.486352
-8.0,76,146491.75426
4.0,67,146756.218458
16.0,66,147047.860555
35.0,4,147074.854277
0.0,54,147251.379678
-2.0,92,147726.131815
56.0,56,147913.311725
6.0,64,148502.947374
10.0,74,149085.01458
-4.0,82,149342.289906
37.0,3,149345.885199
8.0,74,149855.903057
2.0,83,150412.013289
4.0,70,151252.650694
-2.0,98,151884.991035
0.0,55,152070.077523
2.0,77,152623.681137
-6.0,75,152946.674335
6.0,103,153766.967226
8.0,75,153954.255113
0.0,90,154352.886896
4.0,76,154648.538288
-4.0,72,154942.020144
12.0,119,155384.015604
0.0,106,155937.285048
4.0,68,156266.118954
0.0,71,156472.16645
0.0,57,156742.575418
12.0,76,156901.212882
-8.0,66,157304.855008
4.0,64,157497.528608
-2.0,60,157792.769428
-2.0,86,158335.783475
-2.0,90,158809.089591
