#{"t_start": 1673788329.7952342, "env_id": "sokoban-turtle-v0"}
r,l,t
-30.0,65,308.588318
-12.0,69,502.570316
-18.0,60,774.834123
40.0,2,789.400459
-2.0,66,1231.593458
-8.0,73,1671.789343
-10.0,62,1960.48015
-16.0,74,2271.780134
-30.0,60,2422.465386
-22.0,69,2617.923882
-6.0,75,3161.119918
-24.0,65,3508.294968
2.0,71,3739.130025
-30.0,67,4206.539947
-6.0,56,4412.545904
-14.0,61,4677.728811
-14.0,88,5146.902928
-20.0,69,5420.14069
-2.0,64,5947.757079
8.0,63,6189.89961
-12.0,76,6369.712351
-6.0,74,6521.999322
-6.0,62,6908.682107
-14.0,62,7070.588024
10.0,52,7180.541982
-5.0,68,7521.436795
-2.0,74,7960.636167
-16.0,76,8450.596959
-20.0,76,9009.426849
-20.0,72,9679.342547
-4.0,72,10341.268097
-8.0,71,10772.597133
-12.0,65,11123.265788
1.0,67,11314.386072
-2.0,75,11941.922871
10.0,62,12525.761654
-10.0,60,13257.352062
0.0,74,13538.261558
-24.0,75,13763.323555
-2.0,71,14144.288357
-1.0,73,14601.125173
-14.0,58,14940.593069
-2.0,77,15501.994236
-2.0,55,15760.224769
-12.0,69,16274.752093
12.0,65,16689.085981
-6.0,61,16958.651791
-10.0,72,17175.179073
-4.0,73,17669.946866
0.0,59,17941.105971
-38.0,62,18254.815605
-2.0,52,18375.797532
4.0,82,18805.129391
-10.0,64,18883.146853
-12.0,70,18960.154755
-3.0,87,19283.7234
2.0,81,19892.994943
-16.0,63,20225.081604
-12.0,64,20723.858185
-4.0,70,21095.797098
-18.0,65,21370.459983
0.0,90,22077.644634
6.0,75,22496.062978
14.0,74,22875.499969
185.0,19,22992.612852
0.0,60,23201.707435
-8.0,69,23507.797336
-20.0,63,23933.919189
-4.0,60,24378.186343
0.0,67,24793.624674
-9.0,55,25180.415617
-17.0,65,25484.068184
-10.0,48,25766.690279
6.0,73,26182.126118
2.0,72,26442.108112
-10.0,64,27136.316053
-8.0,70,27511.203408
-10.0,49,27726.518374
-14.0,79,28121.794007
4.0,74,28680.262451
38.0,54,29240.486474
-8.0,61,29550.365628
-4.0,45,29654.722058
6.0,58,30170.074168
-2.0,87,30955.95685
-11.0,65,31229.228071
103.0,9,31287.542928
-4.0,76,31742.112311
-6.0,58,32097.268175
-13.0,74,32370.975135
-9.0,77,32765.040027
-4.0,65,33380.844201
4.0,60,33661.999628
-12.0,56,34229.548067
-4.0,57,34654.268392
2.0,57,34973.286489
0.0,75,35415.057077
-7.0,45,35614.543886
-6.0,58,35943.971538
8.0,62,36292.04351
6.0,65,36594.025367
12.0,86,36873.014357
-9.0,57,37195.295128
-10.0,86,37757.14713
-2.0,61,38125.025776
-4.0,60,38222.393026
8.0,58,38541.51549
-4.0,49,38646.59754
-6.0,59,38844.808531
-4.0,73,38985.436642
2.0,63,39314.802436
34.0,8,39348.59083
-20.0,84,39652.186317
0.0,55,39917.873077
2.0,58,40281.179743
-12.0,70,40452.761129
17.0,53,40548.718471
-2.0,69,40773.477623
0.0,72,40990.135333
4.0,54,41615.76482
-2.0,47,41814.995325
0.0,79,42008.481111
-2.0,69,42628.79413
0.0,66,43481.939891
-12.0,59,43564.111232
7.0,59,43855.182531
4.0,72,44433.588858
35.0,46,44880.694979
-8.0,58,45172.848389
12.0,58,45449.940688
-2.0,51,45640.629752
2.0,67,46034.058424
143.0,32,46231.832182
-14.0,62,46548.680385
-2.0,79,47396.022453
2.0,60,47685.100624
-14.0,57,47851.230039
4.0,55,48137.748661
-2.0,50,48392.398339
-2.0,70,49685.601434
-4.0,69,50128.357378
43.0,2,50144.353091
0.0,72,50398.867061
-4.0,66,50635.424873
5.0,68,51144.298378
0.0,71,51540.452685
-6.0,69,51994.920083
6.0,59,52297.024132
-12.0,67,52943.799011
46.0,33,53064.650997
-4.0,90,53254.756161
-6.0,70,53457.575275
-2.0,72,53751.470155
-3.0,62,54177.778956
4.0,73,54585.776676
4.0,78,55124.926345
6.0,56,55546.051174
-2.0,63,55904.831327
-1.0,70,56716.542733
10.0,71,56979.42087
-2.0,69,57936.459112
-4.0,71,58175.133499
4.0,66,58473.451738
-4.0,66,58821.280576
0.0,53,59033.526956
4.0,64,59515.104115
0.0,60,59846.18336
0.0,68,60483.597025
10.0,56,60678.921068
-8.0,57,60866.122205
-6.0,59,60976.99525
8.0,46,61322.959559
0.0,78,61581.755168
0.0,58,61729.172823
-4.0,57,62322.66061
6.0,80,62806.369853
0.0,80,62960.160806
0.0,56,63227.281018
-2.0,65,63485.18557
0.0,61,64049.289984
-7.0,65,64291.530853
33.0,68,64726.016989
-4.0,53,65232.91372
-2.0,72,65500.409729
6.0,67,65711.592622
-2.0,74,66037.319367
0.0,72,66179.33561
0.0,59,66363.147148
-6.0,57,66475.159341
-2.0,61,66749.447436
7.0,54,66893.820082
16.0,78,67982.82174
-8.0,61,68761.883906
0.0,67,69055.093009
2.0,60,69607.166304
2.0,69,70043.083615
-2.0,55,70399.142774
10.0,55,70945.15211
-2.0,70,71247.81455
-2.0,60,71636.790839
2.0,78,71925.077332
-6.0,67,72388.03601
8.0,66,72768.564934
12.0,75,73347.421933
10.0,58,73670.582253
2.0,67,73895.344813
0.0,67,74455.904281
0.0,71,74928.548278
0.0,48,75222.092724
24.0,53,75366.865084
-4.0,78,75981.357224
6.0,67,76455.329046
6.0,75,77106.780749
-2.0,71,78093.122428
-4.0,58,78301.691697
-4.0,51,78611.441942
7.0,59,78947.430725
0.0,66,79330.563132
-2.0,71,79603.71341
-4.0,64,79915.538262
4.0,54,80092.859101
-10.0,78,80280.250315
-7.0,57,80664.387006
67.0,21,80811.846263
-16.0,63,81303.417658
8.0,65,81868.522279
0.0,65,82030.987594
0.0,1,82059.873345
0.0,66,82530.603985
-4.0,72,83104.032725
-8.0,64,83425.156885
-4.0,84,84473.774436
0.0,67,84797.594679
-4.0,82,85128.655859
-9.0,74,85569.411589
-10.0,69,85734.454131
-8.0,63,85886.504387
8.0,59,86061.587148
-12.0,63,86217.901741
4.0,67,86744.574353
-10.0,64,87264.876918
6.0,81,87975.870926
0.0,46,88042.833655
0.0,79,88425.478117
-6.0,73,88585.946251
0.0,66,88872.292134
0.0,59,89285.734846
0.0,54,89570.67142
0.0,62,89894.201832
6.0,69,90233.145889
-2.0,49,90851.413139
36.0,3,90859.02195
4.0,50,91043.123308
